Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Regulation Of T Cell Activation (GO:0050863),0.7517514178245707,2.318767502678227,1.000000e-03,1.000000e-03,1.000000e-03,39/58,15.81%,CCL5;CTSG;CD209;HLA-DQA1;TNFRSF1B;IL4I1;TNFSF8;CRTAM;CD2;LAPTM5;HLA-DRB1;HLA-DRB5;HLA-DPA1;SIT1;CD4;SIRPG;TBX21;PTPN22;HLA-DOA;SIRPB1;HLA-DMB;HLA-DRA;CCL2;LAX1;HLA-DMA;CCDC88B;LCK;JAK3;B2M;SIRPA;CCR2;TNFAIP8L2;HLA-DOB;GNAO1;HLA-DQA2;THY1;GPNMB;DUSP3;PYCARD
prerank,Hydrogen Peroxide Catabolic Process (GO:0042744),0.9309755030069774,2.310354366541801,1.000000e-03,1.000000e-03,1.000000e-03,9/19,0.49%,HBG1;HBG2;HBD;HBQ1;HBB;MPO;HBM;HBA1;HBE1
prerank,T Cell Activation (GO:0042110),0.6990255809350855,2.302061237733241,1.000000e-03,1.000000e-03,1.000000e-03,52/92,15.28%,JAML;SLA2;CD247;CD28;CD8A;CD3G;PTPRC;CD8B;CRTAM;CD3E;ITK;CD2;CD3D;SLAMF6;IRF4;CD4;ZAP70;TRBC1;LCP1;PTPN22;SLAMF7;CD7;CD86;TRBC2;CD74;CD84;CCL19;CLEC7A;LEP;LCK;PIK3CG;PIK3CD;LY9;TREML2;SLAMF9;ICOSLG;NLRC3;CCR7;TRGC1;LEPR;CCL21;CEACAM21;TRDC;CD80;RASGRP1;MICB;FOXP3;TNFSF14;TNFSF4;RHOH;TNFRSF4;IFNK
prerank,Regulation Of Interleukin-8 Production (GO:0032677),0.7212075038915652,2.3005698998640116,1.000000e-03,1.000000e-03,1.000000e-03,40/74,14.08%,ELANE;BPI;PRG3;FCN1;FFAR2;CD14;APOA2;PTPRC;TLR8;CD33;C5AR2;NOD2;CD2;CD244;TLR2;PTPN22;SERPINE1;TLR4;TLR7;IL1B;CD74;CLEC7A;TNF;TMSB4X;LEP;LILRA2;TLR1;IL10;IL6;TLR9;LGALS9;MYD88;ARRB1;SYK;HSPA1B;HSPA1A;BCL3;TLR6;F2R;CHI3L1
prerank,DNA-templated DNA Replication (GO:0006261),-0.6099346661664317,-2.2987450451645604,1.000000e-03,1.000000e-03,1.000000e-03,39/69,25.35%,ORC6;MCM4;CDC45;RECQL4;MCM10;GINS1;RFC3;GINS2;POLD2;MCM7;CHRAC1;RAD51;POLE;SSBP1;DNA2;ORC5;RFC5;RFC4;WDHD1;POLA2;BLM;POLE4;POLA1;POLB;RFC2;GINS3;GINS4;TWNK;POLE3;MCM3;POLE2;RECQL5;PRIM1;PRIM2;TEFM;POLD1;MGME1;RRM1;ORC2
prerank,Positive Regulation Of Cytokine Production (GO:0001819),0.6314322439289578,2.2903381050924407,1.000000e-03,1.000000e-03,1.000000e-03,139/292,17.21%,ELANE;MMP8;OSM;CD226;PRG3;NLRP3;SLC11A1;CRLF2;FGR;FCN1;FFAR2;CD14;APOA2;LILRB2;CD28;GBP5;HMOX1;PTPRC;TLR8;HAVCR2;NOD2;CRTAM;ITK;CD40LG;CD2;NFAM1;CSF1R;LAPTM5;FCER1G;ORM1;SLAMF6;HLA-DPA1;IFNG;IRF4;CD244;CD4;LCP1;TLR2;IL12RB1;CEBPB;PTPN22;SERPINE1;HPSE;TYROBP;CD86;ORM2;TRAF3IP3;TLR4;TLR7;SLAMF1;IL1B;AIRE;HLA-E;CD6;CD74;CCL19;CLEC7A;TNF;PDE4B;TGFB1;CCDC88B;SULF2;LEP;SCIMP;AIF1;SIGLEC16;PIK3CG;PIK3CD;LY9;FFAR3;LILRA2;TXK;POU2AF1;POU2F2;LTB;PTGER4;CYBA;PTGS2;TLR1;IL17RA;IL16;HLA-A;CCR7;CASP1;LILRB1;EGR1;HLA-G;PNP;IL33;IRF1;CCR2;IL10;RGCC;IL6R;CLEC9A;EBI3;IL18R1;IL6;TLR9;LGALS9;CLEC6A;MYD88;CARD11;EREG;PAEP;TMEM106A;IRF5;TSLP;TNFRSF14;SYK;BTN3A1;IL12B;SAA1;HSPA1B;CD80;RASGRP1;SULF1;CYP1B1;IRF7;HSPA1A;CD40;TLR6;F2R;RARA;CHI3L1;TNFSF4;XBP1;STING1;PYCARD;CD274;BTN3A2;RFTN1;BATF;RUNX1;TLR5;NOS2;CD200;PLCG2;IL15
prerank,Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094),-0.753360416179565,-2.289245576426856,1.000000e-03,1.000000e-03,1.000000e-03,14/26,11.02%,TRIP13;TTK;NUF2;CENPF;BUB1B;MAD2L1;BUB1;PLK1;ZWINT;NDC80;CDC20;SPC25;KNTC1;ZWILCH
prerank,Mitotic Spindle Checkpoint Signaling (GO:0071174),-0.753360416179565,-2.289245576426856,1.000000e-03,1.000000e-03,1.000000e-03,14/26,11.02%,TRIP13;TTK;NUF2;CENPF;BUB1B;MAD2L1;BUB1;PLK1;ZWINT;NDC80;CDC20;SPC25;KNTC1;ZWILCH
prerank,Spindle Assembly Checkpoint Signaling (GO:0071173),-0.753360416179565,-2.289245576426856,1.000000e-03,1.000000e-03,1.000000e-03,14/26,11.02%,TRIP13;TTK;NUF2;CENPF;BUB1B;MAD2L1;BUB1;PLK1;ZWINT;NDC80;CDC20;SPC25;KNTC1;ZWILCH
prerank,T Cell Receptor Signaling Pathway (GO:0050852),0.696974148690992,2.2886731948200536,1.000000e-03,1.000000e-03,1.000000e-03,49/91,18.47%,CD247;CD28;CD8A;LCP2;CD3G;PTPRC;CD8B;CD3E;ITK;CD3D;HLA-DRB1;BTK;HLA-DPA1;ZAP70;TRBC1;THEMIS2;PTPN22;TRBC2;PRAM1;NFKBID;PDE4B;THEMIS;LCK;PIK3CD;INPP5D;TXK;ICOSLG;FYN;HLA-A;FYB1;BTNL8;LOC102723996;PTPRJ;TRGC1;GNAO1;TRDC;BTN3A1;MOG;THY1;ERMAP;CTLA4;BTN2A2;BTN3A2;RFTN1;BTNL3;BTN3A3;PLCG2;IKBKG;FCHO1
