GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
105378835,2.508845978169316,5.490558076780433,3.2833850603670816,1.6722248459541296,,
28797,1993.9876885136478,5.484430899587149,1.137476989939411,4.821575247758887,1.4242897294089147e-06,0.0009302520138966648
10107,57.652199561657426,5.461875629361123,1.391292298695623,3.9257571068867345,,
10661,46.536878665592624,5.449993830244135,1.1131300653984233,4.896097949068886,,
6374,487.00958550275664,5.392966706237908,1.3101944035975237,4.116157641514826,3.8524086495991324e-05,0.0053231825276947265
23569,302.11113562516533,5.380281100376798,1.1993709101855865,4.485919288758031,,
4620,2780.7772554367293,5.372215847292415,1.2306872373401587,4.365216185148062,,
1669,13.600456069963506,5.331118154524268,2.8236029764717387,1.8880551546895665,,
4317,90.33094655062202,5.296001041153865,1.1461509183300027,4.620683852760328,,
339390,145.53157050638154,5.261965707319365,1.358133544673731,3.8744096469419467,,
28929,129.086405647075,5.238393571339138,1.789982586154694,2.92650532572635,0.0034279363666189586,0.07235398043105776
25893,355.7989807840962,5.213697738019687,1.0111801448420463,5.156052326199605,,
8685,1953.3664926613296,5.1956281977669665,0.9851168262136445,5.274123900346597,,
10562,115.72682470599932,5.18790234141733,1.454810980071561,3.566031884885926,0.0003624272961313921,0.018962157162917433
6357,375.488139541355,5.159869367532826,0.9557450682513396,5.398792563976794,,
104266958,7.676579650456721,5.152688654344453,3.161276153859146,1.6299394306486885,,
28798,1.961305453469707,5.1358979707372745,3.018403925135739,1.7015277272760343,,
5816,63.185505298766856,5.135040727533861,1.1054825689313288,4.645067115348467,,
55600,94.35985780949234,5.108967466432983,1.2444789967149996,4.105306300804526,,
127795,103.92512849483641,5.095574274142925,1.3673566908932278,3.726587442823155,,
80739,149.91420282590173,5.025612259724764,1.2402117625714513,4.0522210894893265,,
340205,223.30148388414426,5.01868120398699,0.8824957302068699,5.686918397679428,,
105372594,13.589074061430239,4.972911999050543,1.7769421454062244,2.798578452262266,,
56287,6.54051547821438,4.933863381106075,2.045758928812048,2.4117520943541093,,
161003,62.17493513995356,4.863549655407429,1.5625057161844453,3.112660392234567,,
4900,78.80818598766419,4.838428991472117,1.0166803987710678,4.759046203035549,,
112802,96.96138535695756,4.816203450638649,1.4911089919016003,3.229947292113489,,
105371790,1.5628570358201972,4.799127982430621,3.288820822819484,1.4592245187490516,,
28878,776.6961656350027,4.784880100921233,1.1556103147647465,4.140565413605984,3.4645079169310164e-05,0.005069903577987095
222487,728.2596853696465,4.776695525528422,0.9345997477382035,5.110953150895191,,
6352,1707.9191060821481,4.766830491833051,0.7581045755685326,6.287827095962608,3.219401811559119e-10,3.1329608729187566e-06
389177,36.9863198876543,4.7305749646351725,1.5199567583073688,3.11230891193455,,
28458,43.93271620787364,4.7276879969271,2.22242298224058,2.1272674170066344,,
3580,91.84077548553743,4.71411589974997,1.0043581588969792,4.693660182864622,2.6835967631468863e-06,0.001305771095028196
342667,86.11320034431331,4.692564877206584,0.9574207116484292,4.90125690839423,,
441282,265.9741399140036,4.611345042242292,1.1549691857670021,3.992613048961951,,
28467,2267.8942049755387,4.604711600674148,1.0490803430313513,4.389284034594229,1.1372445405000702e-05,0.0030320808892812146
3802,40.4816024435395,4.591445410195667,1.154963763353272,3.9754021345787183,,
6037,31.289065304788316,4.586865551499482,1.1375372718950174,4.032277152429693,,
51266,96.57754957545835,4.580170198932925,1.0053079279087664,4.555987346544216,,
125958,3.765525920056988,4.569932205845718,1.9608885638405824,2.3305415157784797,,
128602,83.98779564032411,4.564758884048823,1.596681778305026,2.858903349479312,,
165904,215.65860522836675,4.561425243133308,0.8939202214684815,5.1027207278520414,,
645202,163.40715688037224,4.5592068151179905,1.0019718532316175,4.550234420670973,,
28786,20.21263456550463,4.5465863475966914,1.2564591849710984,3.618570664276113,0.00029623461659436523,0.016839188156366054
80712,2.9567450778422324,4.530470421053842,1.8937922685126107,2.3922742195014264,,
4113,28.379757086264938,4.520507797767427,1.5689282007127268,2.881271300824262,,
8277,45.40315488257714,4.51534294946229,1.3727050227413709,3.289375994592699,,
3046,11.928556968905312,4.511497431067699,1.276162009402026,3.5352074406145824,,
5008,151.3260496972426,4.510781592637688,1.1171090944859627,4.03790606924861,5.3930437950623866e-05,0.006247905439482097
116173,30.845112742478552,4.508143128420387,1.7211190292777796,2.6193093282526227,,
28772,96.93850834364684,4.495115004964565,1.2158510383325214,3.6970935281096513,0.00021808201195328556,0.013913627007543707
90316,18.826111980760103,4.482763119197872,1.872710175808937,2.393730315082789,,
3577,266.6976761560518,4.47984011839527,1.060807038216658,4.223049015517857,2.4101937737113514e-05,0.00410483875678718
730152,34.60375883256681,4.473726741851899,1.667602496556937,2.6827296979278374,0.007302398529412274,0.11112320764499695
100132202,153.28387538203856,4.456857075530719,0.9666269621757447,4.610731181653515,,
28373,18.05059075710289,4.438663277643152,1.4531346186003338,3.0545437572180987,0.0022540313062187267,0.05638844641765434
1511,255.42258701882923,4.435758227300278,1.031001724217412,4.302377118396448,,
58,1476.708043023823,4.429239364913595,1.2342232014278702,3.5886858712341634,,
2812,141.2561035167861,4.411307691838588,1.0219589664637805,4.3165213443967865,,
4633,388.3970654426452,4.385532207968005,1.332393996968592,3.2914680026672194,,
1791,3.348030782648066,4.382416872766362,2.023483755826232,2.165778133947474,,
727832,153.52749533486656,4.382082495789965,0.9238322628927005,4.743374605763176,,
92747,6714.707552206323,4.372428976104817,1.7722055846215747,2.46722446540449,,
676,22.739404711724422,4.366873050174905,1.1941193862782238,3.6569819570431505,,
646754,1.7815354353483022,4.358353525880887,2.649520632699423,1.6449592700247995,,
1620,51.72059808273282,4.357199179138193,1.052894345710462,4.138306181327323,,
1088,138.14399664841233,4.3558197427480545,1.0575720946360319,4.118697689586003,,
9402,491.8478450118177,4.353608811819705,0.818244141254911,5.320672146998492,,
