,log2FC
23046,1.8279622878488802
7078,1.8269999367326637
6775,1.8239138726543151
9173,1.8238776988841279
83888,1.822639752732864
7124,1.822417465971009
1805,1.821820260136957
256380,1.8207604935404955
6518,1.8195506606979173
112268067,1.8194105374153535
90011,1.8167186147657823
5293,1.8165905572605165
28688,1.814417108419653
4583,1.813899675391827
200132,1.8131452128932604
3718,1.8129694861018866
28827,1.8114569490444965
3988,1.8109426509010813
4814,1.8103812598394065
2793,1.810189653832106
5858,1.8096760649394028
266629,1.809412683236106
3822,1.8081896055073532
10661,1.8055494534229863
6347,1.8050061204436627
53831,1.8026229002793537
107983983,1.8014288280740418
154075,1.8004487408046872
389643,1.798140846374884
441168,1.7980173137581543
28713,1.7973384651373405
28751,1.7966851261100134
27288,1.7947027415717525
100287083,1.7943438600313288
1053,1.7937675298663196
139716,1.7928283873437207
105,1.792624307856323
113730,1.7921920695323115
30835,1.792064475250358
9051,1.789688559765957
7140,1.7894448497032798
107984834,1.7879118097526625
11184,1.7845759014320794
102465485,1.7835861643458246
51348,1.7834894585553522
1118,1.7823618946933601
119774,1.7781592250440137
1960,1.7780477541606627
3311,1.7771876980902306
26112,1.7771054898204088
114769,1.7751817150225815
6967,1.7751028512641955
387751,1.774709409703246
7348,1.7715854997048242
28469,1.771394537472557
717,1.7712064871251645
28593,1.7694382255913539
494118,1.7673300337985165
397,1.7656846899593344
4113,1.7650848738604306
28670,1.7640402632065453
838,1.7628536982919751
8685,1.7613125185490546
8514,1.761211818963874
7409,1.7599329159927564
346171,1.759814046747758
644997,1.758233034107623
125336,1.758154817059161
101927954,1.7578332771332654
197135,1.7554637917600777
10437,1.7543673065534175
284654,1.7541307680386597
22918,1.7540141194545527
102724977,1.7538746521978186
6978,1.7534548707311455
1843,1.7516702119192331
27350,1.7492558287061764
107987174,1.7483981399363628
6960,1.748154278364698
57705,1.747623124039638
28664,1.747350027501069
126259,1.74526755031475
6387,1.7447065305749394
1191,1.7442180661601512
101927559,1.7435343455095627
64581,1.7428061597384055
566,1.7426120386966149
9459,1.7415704139986357
115352,1.7386907963014604
6648,1.7386432601747455
1514,1.7379397589202057
246,1.7375828093240244
84433,1.7364483473044503
84689,1.736446364685551
3495,1.7363745187023891
388512,1.735723859031439
131578,1.7352460265171583
100507347,1.7347129729837576
6318,1.734288397397325
57119,1.7325926928398527
28426,1.732079854341035
23209,1.731719985499403
9056,1.7305548837333227
28659,1.7298306363334035
1890,1.729663273735767
3812,1.7287298791118126
3383,1.727838713730419
6943,1.7265142874248314
7056,1.726426309325614
719,1.7254514354240387
2210,1.725385650969809
1051,1.7245501834680557
28568,1.7232600765310995
643802,1.7176375584604073
84106,1.7158982826443285
119587,1.7158643250302843
197358,1.7154970643013048
144423,1.7133988426564928
5360,1.7114475468271522
10077,1.7112681626236546
4145,1.7101642834273658
102724850,1.7080295180541816
105375112,1.7075804350780137
28558,1.706786789820276
8635,1.7062090423497391
27306,1.7060801409534143
51471,1.706005860681569
6983,1.7057731252420623
28738,1.7052853354226305
9770,1.7049125886542988
201305,1.7032958786210535
2848,1.7031898482648617
3067,1.7030785364686336
4633,1.701625702936938
440836,1.701535606475086
170575,1.7001288783673
64093,1.6997271821082736
1959,1.6991057543578467
29802,1.697972845971564
943,1.6978912499127539
3802,1.6976561503720213
2866,1.6975572517734285
27299,1.6960896299260169
254896,1.6952475821689683
137835,1.695034971867364
105378230,1.6949648451425992
400624,1.693865917072349
57413,1.6936899613477134
3676,1.6929655743736696
6948,1.692778803368931
1675,1.6925393393392456
3805,1.6921048575123296
8328,1.6893840680652636
259307,1.6872812005708795
729665,1.6867310140034029
28959,1.6858970725707323
11262,1.685720628708303
399949,1.6848448062533707
3681,1.684757460597333
105374925,1.6845878913811458
28656,1.6840048955058777
3386,1.6839407593042397
640,1.6824579077683781
3603,1.6822358366061554
101927723,1.6799074358484498
27202,1.6792289664186262
221472,1.678999378847335
5368,1.6787787700925954
51225,1.6785110252337025
10855,1.6785062396516723
101927730,1.6779913420293715
389197,1.6778511600124988
28640,1.6761367718425346
28667,1.6745591208163972
28526,1.674553829028027
22861,1.6718556169986183
3107,1.6716742958623456
9047,1.6710595414884288
28490,1.6699378947812225
2209,1.6695418295421778
91851,1.668999484576478
56729,1.6672654406311738
1393,1.6670654310609816
5973,1.666554683276364
51284,1.6652669854523356
112268267,1.663586327706037
56271,1.6622161792784986
284367,1.6611382309882803
6696,1.659452675934162
2833,1.6590237738474731
80231,1.6570457113759094
2359,1.6550311797448751
978,1.6530366340795908
2633,1.6507548165166952
5243,1.6507316259366673
56000,1.6499609613719097
85442,1.647420232107958
5740,1.6464263835244761
84229,1.6452437008449303
10875,1.6443951302721196
974,1.644058650479038
8638,1.6438460864540554
283888,1.6436001618061051
64127,1.641753870065095
105375532,1.6414956494997845
28586,1.6414309712609247
441728,1.6396971812310643
28609,1.639607106393905
100419170,1.638316320974218
105373233,1.6374202244426725
4311,1.636010560157569
388325,1.6358665046897007
9332,1.6325417041036925
7288,1.6318395322114583
3695,1.6315562033044158
6039,1.6315252600377796
11213,1.6310521517405103
202309,1.627772190223269
645,1.6265431480807102
101927793,1.6248644204182465
683,1.624417027673668
107984945,1.6232071206047018
84034,1.6230831199644289
4261,1.6224083179657676
28799,1.6212729844487668
148823,1.6205170922594663
152007,1.6195897353453237
28781,1.6194048187599939
101927156,1.618710360568993
2517,1.6178886517856643
25890,1.617722264023211
26051,1.6177179321251645
2675,1.6172026028401363
27439,1.6166860391437163
28754,1.614664090019859
5734,1.6144779709941615
81553,1.6143149983811869
921,1.6141528334442805
1731,1.6131546911501653
100302277,1.6131114253318795
6236,1.6130761809177594
864,1.6125828235622013
3134,1.6121207144398007
28821,1.6118760062054012
157983,1.61085873339953
1601,1.6106666188281782
283234,1.6102996932615774
127623,1.609932672031144
976,1.609830169061535
25893,1.608390126369919
54490,1.6034670963903843
3118,1.6031766281801847
80129,1.6012164704322727
4481,1.6007570026154774
9023,1.5984284199811132
100996648,1.5983681367061786
101927272,1.5965786466293483
100652824,1.5963424834296154
28619,1.5958202322833135
28658,1.594773628001231
387837,1.5947638180088566
4360,1.5932310301393962
54210,1.592745812778503
7832,1.590933615055853
645432,1.5898704376752502
93082,1.5890076807473386
54329,1.586852291219579
8698,1.58600579833278
374403,1.5833035228140737
105378443,1.582355928935916
3690,1.5807086819966614
4635,1.5797765484784065
7040,1.5793291802439349
126306,1.5789712477535822
3488,1.578873899128098
3059,1.5788536957889256
2217,1.5782874090643215
105378298,1.5770275032062382
1831,1.5762040323334654
80774,1.575288585926021
28724,1.5746950124268775
348,1.5744238018237997
710,1.57247158805788
5168,1.5722122217657564
59067,1.5717728710138616
80380,1.5698242482516127
8419,1.5697740191562906
28676,1.5696330875794817
9953,1.5689417968413428
28662,1.5686887187550904
9935,1.5680818645657517
442245,1.5679570449208051
100303491,1.5675694217661684
731,1.5666137147397317
100873940,1.5665032004272292
64386,1.5664316399510474
10538,1.5646172307928259
221357,1.5642823670934707
1240,1.5639431966332946
26762,1.563618065895505
2815,1.5615208034063734
2634,1.5609556288069477
2322,1.5605843721786385
64109,1.557282377091239
221188,1.5570714444418403
6482,1.5562799892198411
5790,1.5526539918753306
390036,1.5519089615665638
10219,1.5513466588149791
2752,1.5513135177241075
1236,1.5512639574238198
140947,1.5505520832767998
50964,1.5502429875578287
101928517,1.549670032589268
10235,1.5489330880661027
58484,1.5482663297144068
3627,1.546269621949416
28739,1.545351440889474
5166,1.5422469478026084
338442,1.5413779880970395
3135,1.5405619181998116
11309,1.5400809029196907
28693,1.5389130996320732
28492,1.5388007501952141
1200,1.5387644650783194
3620,1.5371644711615566
863,1.5370664049782894
27287,1.536020774217672
115361,1.53549826170293
6424,1.5349013805607132
4318,1.532687867058975
4319,1.5324327757760496
219670,1.5323697986049227
3274,1.5295304159280203
6001,1.529224110902553
22806,1.527523944085548
10720,1.5272965439909036
399,1.526717919723004
79908,1.5255196001065419
28663,1.5252158494399672
4327,1.5241267092036592
474344,1.5237829173375381
28620,1.520826661299087
135892,1.5205423027474536
28601,1.5205079596305038
6451,1.520102060861035
28486,1.5192486223648705
28742,1.5191320130987038
89778,1.5189001780278146
718,1.5185001683692185
28705,1.5183279837902341
338323,1.516749791434826
6288,1.5162900363598482
100129792,1.5159613285684141
10800,1.5151124999127576
