,log2FC
28596,1.5146367839027384
55619,1.5144920760090805
3105,1.5134895562486133
2294,1.513392217574573
22895,1.5133181213201503
10846,1.5109099331794198
5452,1.51005559629475
28507,1.5096151599274417
1572,1.5091792083144249
101928555,1.5084199506895712
347,1.5079791656373533
642446,1.5057921273791248
348645,1.5056199114484228
9021,1.5053994547947749
489,1.502494566734029
3384,1.5000755283485718
9750,1.498925526734844
255231,1.49841294798534
130951,1.4972313962630848
28780,1.4961966123063764
286336,1.495251725864036
2853,1.494811125525072
100526773,1.4905380937337838
28744,1.489718721168003
51733,1.4893991494776704
2745,1.4888167514440962
9839,1.4886018829219783
4114,1.4878618255559528
7076,1.4873973951108077
28708,1.4870381833284
7057,1.4865446050073245
28715,1.4863609263157203
2994,1.4851714824002258
427,1.484516505777144
64518,1.4840010142430642
140,1.4835542304212685
9404,1.4833297755340151
6327,1.4830253019151822
158830,1.4829899205826704
57817,1.4824300128845422
6507,1.4804959850632038
56833,1.4802804882092495
28746,1.47967751743471
3491,1.4796631373504585
10021,1.479663074262421
6414,1.4788983663542226
79890,1.4781766385747854
28730,1.4773357718713187
101927486,1.4772273937812768
84807,1.476736340343428
109729184,1.4753479996146233
2890,1.474471755525371
5027,1.4739200789783133
28595,1.4724158588874448
23406,1.4720557168187938
50486,1.4712990249362257
51291,1.4712026034317311
4619,1.469530829131389
174,1.468925682105668
284417,1.46816423251785
7096,1.4681019980134238
28582,1.4677603032663245
28622,1.4668003291266012
10344,1.4661938066195295
257101,1.4661642778697663
9429,1.4652156593552723
8787,1.464659315336002
284418,1.4634492724605481
5272,1.4631177648639673
54941,1.4623233181074449
84824,1.4621452916639828
105378620,1.4601179250122063
