,log2FC,pval,neg_log10_pval
163688,-0.098173874588944,0.8786479060981269,0.05618512154611081
339456,-0.26024038049108356,0.7451430309375637,0.12776035593868315
85452,-0.5881069982557356,0.7344175472608295,0.13405695513069885
107984872,0.062510711114248,0.95393530265793,0.02048107876342603
105378589,-0.5077238637019232,0.06221237030206455,1.206123250949176
2563,-0.8977877706997806,0.36204821041133606,0.4412335947570181
105378590,-0.23499659097465056,0.23547688742717424,0.6280517132144918
105378591,-0.36363636363636365,0.0915877986515043,1.0381623788194656
5590,-0.9088490119213315,0.2942854923013441,0.5312311470928498
100506504,-0.39410310251581526,0.507638217374701,0.2944456895450559
199990,-0.21830972049927055,0.5217890315352157,0.2825050543089429
112268219,-0.5965483359043091,0.13926517634803806,0.8561574662548118
105378593,-0.46289573602997036,0.40591629336047147,0.3915635157732452
6497,0.30139359518634024,0.31944165028178134,0.49560845904384304
79906,-0.48840238528379754,0.533167673544633,0.27313619005965933
100129534,-0.9170787399791027,0.3564252940515487,0.4480314833089928
11079,-0.30926688794213675,0.49174044822728724,0.3082640671565463
5192,-0.40548345608030356,0.36778717962497554,0.4344034134115325
9651,0.18506092817843012,0.841899226342221,0.07473988952086545
55229,0.19554649270247282,0.4395261387606583,0.3570152920910359
388585,-1.378964069918275,0.10702070192621062,0.9705322045007153
115110,1.1264598114248736,0.0899060755227214,1.0462109587643822
8764,1.1719924030605853,0.08894862920979778,1.050860739966541
100996583,-0.17198664512087947,0.7042173462795538,0.15229328153204003
127281,0.2211704991436898,0.634384466558549,0.19764745956035773
79258,-0.039242837569173794,0.9339117929467315,0.029694140474486652
105378597,-0.30772386370192323,0.3617783039223146,0.4415574814947687
100287898,0.7552673934725389,0.23709419017815933,0.6250790877807733
105378603,0.036363636363636376,0.9253205577632939,0.03370778899712233
105378602,0.007097445919330758,0.9846948183271316,0.006698347380033007
105378601,0.2538768252674905,0.6786032243233938,0.16838408111005768
112268220,0.08228929424473252,0.9131896210954007,0.03943903310293764
107985732,0.25485405808585915,0.7130028101979593,0.14690875837465486
105378600,0.10030056490991512,0.892665786762311,0.04931111008067575
105378598,0.31167765689154514,0.7822334930273085,0.10666359266801027
107984904,0.23236407992629515,0.7519789670412713,0.1237943064591938
105378599,0.18318522720716762,0.760404430062032,0.11895536157340174
140625,0.21200272722027946,0.7390338918038303,0.13133564451545407
440556,-0.5953866967583705,0.5120769824248083,0.29066474493718025
63976,-0.4118327998132312,0.6880287625240161,0.16239340596827806
100422968,-0.41681477279283236,0.09988836315917138,1.000485103032212
105378606,-0.16559586631531875,0.7601839044194044,0.1190813300136408
107984909,-0.6686261365603153,0.17079161577363167,0.7675334525532683
105378605,-1.2180676083580175,0.03033967730646799,1.5179890412597588
105378604,-0.8030096133029319,0.3427525760260283,0.4650192723718142
27237,-1.1426450728228899,0.2851401673927335,0.5449415996260372
1953,0.11982793244015433,0.8426294375410271,0.07436337266972436
105378608,-0.7070110960572948,0.31444350576641716,0.502457370232631
693135,-0.4895420455201051,0.19203469286915842,0.7166203046090225
105378607,-0.3454545454545454,0.30141435509068193,0.5208360677757404
127262,0.5019547233884314,0.2092096439669764,0.6794182994006877
49856,-0.1755732687499485,0.5610212859133504,0.25102066062839434
7161,0.0006822925994658391,0.9994015378381369,0.00025998657490840856
105378610,-0.2433468724591663,0.5170890248543384,0.2864346798886376
105378609,0.20056871155312883,0.7245788447087668,0.13991435001020083
57212,0.200310899128743,0.7358114877908339,0.13323343600930715
148870,0.15871101656656084,0.8043313170673739,0.09456502142776205
388588,-0.14067613411116486,0.7609671407401066,0.11863409600199493
57470,-0.4286381439009421,0.30344845638307955,0.5179150672444851
9731,-0.17748208790962217,0.6077197453004747,0.2162966527769926
1677,-0.015470922392922581,0.9581848138222498,0.01855071646893125
107984910,-0.935623008757243,0.07802013424916061,1.1077933061768952
339448,0.08362260258066634,0.7551940385485706,0.121941446930656
100133612,-0.06333579872644857,0.8884420832097094,0.051370878178130665
105376672,-0.14408750006555965,0.36787944117144233,0.4342944817851983
105376673,-0.14408750006555965,0.36787944117144233,0.4342944817851983
105376679,-0.09090909090909091,0.3678794411714422,0.43429448178519847
55966,-0.5629574650720652,0.3878216017251703,0.41136800419958414
105376680,-0.09090909090909091,0.3678794411714422,0.43429448178519847
102724429,-0.09090909090909091,0.3678794411714422,0.43429448178519847
107984911,-0.36363636363636365,0.16715155184722616,0.7768895867711579
100616421,-0.18181818181818182,0.22521225069901218,0.6474079889996446
261734,-0.09338514832737488,0.7529750845780263,0.12321939400629565
8514,1.761211818963874,0.01787102908483116,1.7478504359430183
26038,-1.0971621225983585,0.19863060303858546,0.7019538386689098
105376687,0.018181818181818188,0.9253205577632939,0.03370778899712233
6146,-0.18651943344302957,0.6191253223972476,0.20822143278903352
107985733,-0.09708021972003689,0.7822296024289177,0.10666575272588202
102724450,-0.3315132448555701,0.5316601776238443,0.2743658678830619
388591,-0.28578920669979446,0.7420537823507065,0.12956461685696086
23463,-0.68562074567261,0.31500728024923585,0.5016794088168701
148645,-0.45181136376748293,0.20151709516585994,0.6956881055292977
390992,-0.2923760540229118,0.6589580283585642,0.18114224639132517
387509,-0.7786342104216573,0.2034256279480145,0.6915943345071501
11332,-0.0799523702738636,0.7876464744037014,0.10366866654987278
54626,-0.22677614260577705,0.770611065535701,0.11316475900064654
83715,-0.32872399609277636,0.7327058673520604,0.1350703306503629
100422975,-0.2727272727272727,0.14420899562475226,0.8410076475793801
8718,-0.776784350223771,0.310223517833034,0.5083252815663085
57449,-0.977756588518151,0.26091478686906583,0.5835013071892005
79707,-0.36409389073677545,0.3923734505728152,0.4063003861452314
80835,-0.3765846442348755,0.4998302671589892,0.3011774486786404
107984912,-0.21996776716893973,0.596075314748271,0.2246988631515044
3104,0.05409178977527418,0.8515895308090278,0.06976968623839694
9903,0.38464094464292486,0.30801531260150444,0.511427692407157
107984913,-0.25680988079682776,0.6856387331816308,0.16390465611501753
148479,-0.13592968400922345,0.5482974756927503,0.26098375348147096
90326,-0.07224754848151616,0.752076593684453,0.12373792727536366
55735,-0.28588239710002483,0.48701299375319906,0.3124594513449948
110841581,-0.30772386370192323,0.32121179124675864,0.49320852060743325
